Incident Zip,Rat Sightings
10000.0,3
10001.0,383
10002.0,1299
10003.0,627
10004.0,40
10005.0,18
10006.0,91
10007.0,249
10009.0,1179
10010.0,346
10011.0,559
10012.0,550
10013.0,661
10014.0,616
10016.0,420
10017.0,77
10018.0,140
10019.0,451
10020.0,2
10021.0,347
10022.0,354
10023.0,778
10024.0,1269
10025.0,2285
10026.0,1218
10027.0,1416
10028.0,622
10029.0,1079
10030.0,739
10031.0,1435
10032.0,1059
10033.0,977
10034.0,747
10035.0,775
10036.0,533
10037.0,246
10038.0,331
10039.0,304
10040.0,624
10044.0,10
10065.0,248
10069.0,29
10075.0,237
10120.0,1
10121.0,1
10128.0,1244
10162.0,10
10174.0,1
10271.0,1
10280.0,21
10282.0,12
10301.0,363
10302.0,290
10303.0,377
10304.0,441
10305.0,424
10306.0,691
10307.0,126
10308.0,279
10309.0,267
10310.0,336
10312.0,555
10314.0,747
10451.0,826
10452.0,1180
10453.0,1240
10454.0,527
10455.0,809
10456.0,1770
10457.0,1652
10458.0,1574
10459.0,1063
10460.0,1000
10461.0,356
10462.0,994
10463.0,804
10464.0,52
10465.0,349
10466.0,577
10467.0,1803
10468.0,1290
10469.0,715
10470.0,188
10471.0,156
10472.0,972
10473.0,348
10474.0,342
10475.0,79
11001.0,46
11004.0,24
11040.0,8
11101.0,560
11102.0,159
11103.0,448
11104.0,186
11105.0,186
11106.0,275
11201.0,682
11202.0,1
11203.0,1058
11204.0,290
11205.0,938
11206.0,1448
11207.0,1666
11208.0,978
11209.0,239
11210.0,397
11211.0,1363
11212.0,1046
11213.0,1448
11214.0,521
11215.0,1334
11216.0,2494
11217.0,1432
11218.0,424
11219.0,402
11220.0,380
11221.0,3124
11222.0,937
11223.0,409
11224.0,268
11225.0,971
11226.0,1355
11228.0,176
11229.0,277
11230.0,436
11231.0,490
11232.0,176
11233.0,1925
11234.0,459
11235.0,585
11236.0,586
11237.0,1369
11238.0,2158
11239.0,7
11242.0,1
11249.0,319
11354.0,164
11355.0,238
11356.0,80
11357.0,243
11358.0,113
11360.0,37
11361.0,176
11362.0,41
11363.0,20
11364.0,60
11365.0,85
11366.0,41
11367.0,118
11368.0,506
11369.0,154
11370.0,169
11372.0,416
11373.0,529
11374.0,275
11375.0,227
11377.0,786
11378.0,415
11379.0,377
11385.0,1619
11411.0,104
11412.0,491
11413.0,264
11414.0,170
11415.0,58
11416.0,203
11417.0,306
11418.0,258
11419.0,292
11420.0,313
11421.0,192
11422.0,107
11423.0,180
11426.0,97
11427.0,60
11428.0,66
11429.0,193
11430.0,10
11432.0,446
11433.0,564
11434.0,462
11435.0,485
11436.0,231
11691.0,214
11692.0,76
11693.0,65
11694.0,72
